latitude,longitude,depth,mag 
43.6655,-79.4204,-0.2712393542505052,20
43.6448,-79.384,-0.5182710364093235,12
43.6486,-79.3817,0.4389767319560972,43
51.4742,-0.0797189,2.8784145932744276,122
43.652,-79.3633,-0.580028956949028,10
50.1109,8.68213,2.1990774673376774,100
43.6913,-79.3116,0.46985569222594953,44
12.8498,77.6545,6.861800468085372,251
43.6509,-79.362,-0.3947551953299143,16
52.3563,4.95714,2.013803705718564,94
43.6655,-79.4204,-0.5491499966791757,11
43.652,-79.3633,-0.5491499966791757,11
40.8302,-74.1299,-0.1168445529012438,25
40.8302,-74.1299,-0.14772351317109608,24
42.0249,-93.6143,-0.36387623506006206,17
43.8259,-79.2518,-0.33299727479020974,18
43.652,-79.3633,-0.4565131158696189,14
40.8302,-74.1299,-0.14772351317109608,24
40.8302,-74.1299,-0.024207672091686967,28
51.4742,-0.0797189,2.1064405865281204,97
40.8054,-74.0241,-0.14772351317109608,24
43.6485,-79.3832,-0.5491499966791757,11
40.8302,-74.1299,-0.17860247344094837,23
39.0438,-77.4874,1.7976509838295978,87
45.4215,-75.6972,2.971051474083984,125
43.6509,-79.362,-0.580028956949028,10
43.652,-79.3633,-0.6109079172188803,9
43.821,-79.3436,-0.580028956949028,10
43.652,-79.3633,-0.580028956949028,10
43.652,-79.3633,-0.580028956949028,10
40.8302,-74.1299,-0.14772351317109608,24
52.3563,4.95714,1.9829247454487113,93
40.8302,-74.1299,-0.17860247344094837,23
43.8599,-79.341,-0.2712393542505052,20
50.1109,8.68213,2.291714348147234,103
43.5973,-79.5478,0.1610660895274267,34
43.652,-79.3633,-0.6109079172188803,9
45.5029,-73.5723,-0.08596559263139153,26
50.1109,8.68213,2.291714348147234,103
40.8054,-74.0241,-0.14772351317109608,24
50.1109,8.68213,2.3534722686869385,105
50.1109,8.68213,2.260835387877382,102
51.4742,-0.0797189,2.0755616262582683,96
43.8669,-79.4414,-0.2712393542505052,20
43.652,-79.3633,-0.580028956949028,10
12.8498,77.6545,6.830921507815519,250
43.6655,-79.4204,-0.2712393542505052,20
34.0581,-118.235,1.6432561824803362,82
40.7128,-74.0059,-0.20948143371080064,22
41.8781,-87.6298,1.7976509838295978,87
51.4742,-0.0797189,2.4152301892266435,107
43.652,-79.3633,-0.5491499966791757,11
